id,participant,gender,Age,Days1,Days2,Days3,Days4,Smoke,Drinks,Years,Freq1,Freq2,Freq3,Freq4,Units,StartDate,Days,Freq4_r,Frequency
104,104,2,19,2,2,1,1,2,2,3,3,2,2,4,5,12/3/2018 11:29:28,6,2,2.25
105,105,2,20,1,1,1,1,2,1,2,2,1,1,5,1,12/3/2018 13:35:49,4,1,1.25
106,106,2,18,1,2,1,1,2,2,1,4,3,2,4,5,12/3/2018 14:38:59,5,2,2.75
107,107,2,19,1,1,1,1,2,3,2,2,1,1,5,6,12/3/2018 15:23:02,4,1,1.25
108,108,1,21,1,2,1,1,2,2,1,2,1,1,5,10,12/4/2018 14:36:40,5,1,1.25
109,109,1,20,1,3,1,3,2,2,1,3,2,3,4,6,12/11/2018 13:36:39,8,2,2.5
110,110,2,26,1,1,1,2,1,2,9,2,2,2,4,6,12/5/2018 14:27:11,5,2,2
111,111,2,18,1,1,1,1,1,2,3,2,2,1,5,0,12/6/2018 13:56:14,4,1,1.5
112,112,1,21,1,1,1,1,2,2,4,2,1,1,5,3,12/6/2018 15:29:01,4,1,1.25
113,113,2,18,1,3,1,1,1,4,3,4,2,3,4,8,12/10/2018 12:29:29,6,2,2.75
114,114,2,20,1,1,1,1,1,3,4,4,1,4,4,3,12/10/2018 13:34:28,4,2,2.75
115,115,2,18,1,5,1,1,2,3,5,4,4,4,2,8,12/10/2018 14:32:42,8,4,4
116,116,2,19,1,2,1,1,2,2,1,2,1,1,5,3,12/11/2018 17:23:44,5,1,1.25
116,116,2,20,1,1,1,1,2,3,4,2,1,1,5,3,12/12/2018 14:23:57,4,1,1.25
117,117,2,19,1,2,1,2,2,2,2,2,1,2,5,2,12/12/2018 17:23:30,6,1,1.5
118,118,2,20,1,2,1,1,2,2,5,4,4,1,4,4,12/13/2018 12:41:13,5,2,2.75
120,120,2,19,1,1,1,1,1,2,6,2,2,2,4,0,12/13/2018 16:30:09,4,2,2
121,121,2,20,1,1,1,1,2,2,0,3,1,1,5,4,1/16/2019 16:29:26,4,1,1.5
122,122,2,18,1,1,1,1,2,1,1,2,2,1,5,1,1/21/2019 13:20:39,4,1,1.5
123,123,2,20,1,1,1,1,1,2,5,2,2,1,5,3,1/21/2019 14:05:27,4,1,1.5
124,124,1,20,1,5,3,1,2,3,2,2,1,1,5,3,1/21/2019 15:38:15,10,1,1.25
