participant,group,salience,RT
1001,control,Gambling,964.334637598901
1001,control,Neutral,993.0768581755319
1002,control,Gambling,1095.4967364569893
1002,control,Neutral,1025.2494867606383
1003,control,Gambling,1167.9114595531914
1003,control,Neutral,1195.0393582108109
1005,control,Gambling,1118.1296520582011
1005,control,Neutral,1153.1497736702127
1006,control,Gambling,819.2959200160428
1006,control,Neutral,787.6963615473684
1007,control,Gambling,880.826412513369
1007,control,Neutral,863.6150873684211
1008,control,Gambling,1056.4925270769231
1008,control,Neutral,1034.8962130611112
1009,control,Gambling,904.3649842910053
1009,control,Neutral,868.3485267037037
1010,control,Gambling,697.0840479521277
1010,control,Neutral,725.2962492751323
1011,control,Gambling,934.2846931914894
1011,control,Neutral,952.7249697340426
1012,control,Gambling,855.0028162819149
1012,control,Neutral,856.3721227830688
1013,control,Gambling,840.5597424652407
1013,control,Neutral,831.4444151
1014,control,Gambling,846.8527562842105
1014,control,Neutral,893.7447870053192
1015,control,Gambling,727.5500307272728
1015,control,Neutral,719.0646258563829
1017,control,Gambling,754.1615513526316
1017,control,Neutral,754.4254917219251
1018,control,Gambling,900.7759929210526
1018,control,Neutral,902.4213014491978
1020,control,Gambling,1057.9761925026737
1020,control,Neutral,1027.0678314462366
1021,control,Gambling,807.6027702085562
1021,control,Neutral,852.4607665631579
1022,control,Gambling,718.2466009521277
1022,control,Neutral,758.2250475157895
2001,gambling,Gambling,765.8909516145833
2001,gambling,Neutral,733.4477541075269
2002,gambling,Gambling,827.3170951978609
2002,gambling,Neutral,801.0991937157895
2003,gambling,Gambling,942.0136765815217
2003,gambling,Neutral,910.280273459893
2004,gambling,Gambling,801.837349395722
2004,gambling,Neutral,797.0942137120419
2006,gambling,Gambling,948.0391235775401
2006,gambling,Neutral,950.9835970710383
2007,gambling,Gambling,825.4260153796791
2007,gambling,Neutral,794.5240810314136
2008,gambling,Gambling,924.237468005291
2008,gambling,Neutral,866.0907559840425
2009,gambling,Gambling,972.1326783333334
2009,gambling,Neutral,952.9859158978495
3001,gambling,Gambling,845.3383557578948
3001,gambling,Neutral,824.9053969572193
3002,gambling,Gambling,935.5469107248678
3002,gambling,Neutral,930.902317844086
3003,gambling,Gambling,713.2655581542554
3003,gambling,Neutral,705.6912613650794
6001,gambling,Gambling,801.8435784105263
6001,gambling,Neutral,741.7156343135135
6002,gambling,Gambling,704.5567301587301
6002,gambling,Neutral,719.9782245621622
6003,gambling,Gambling,812.0050934031414
6003,gambling,Neutral,791.6606890268818
6004,gambling,Gambling,876.4907113947369
6004,gambling,Neutral,836.8536611755319
6005,gambling,Gambling,672.5026847460317
6005,gambling,Neutral,687.268498962963
6006,gambling,Gambling,680.3391094946809
6006,gambling,Neutral,646.6219537819148
6007,gambling,Gambling,730.6869280053191
6007,gambling,Neutral,730.9592337105263
